Group,Image1,Image2,Image3,Image4,AudioFile,Adjective,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
A,longscissors.png,brain.png,orca.png,longnotepad.png,longscissors.mp3,long,1,critical no contrast,1011,1633,1011,2317
A,longpeapod.png,shortpeapod.png,shortbroom.png,cap.png,shortpeapod.mp3,short,2,critical with contrast,914,1526,914,2287
A,wateringcan.png,fatpig.png,fatbowlingpin.png,dice.png,fatbowlingpin.mp3,fat,3,critical no contrast,1007,1689,1007,2353
A,talltree.png,crayon.png,shortmug.png,tallmug.png,tallmug.mp3,tall,4,critical with contrast,957,1507,957,2028
A,widechair.png,bomb.png,flashlight.png,widebottle.png,widechair.mp3,wide,1,critical no contrast,894,1519,894,1978
A,deer.png,longshell.png,longdart.png,lime.png,longshell.mp3,long,2,critical no contrast,1095,1611,1095,2160
A,volleyball.png,longsword.png,longwrench.png,shortwrench.png,longwrench.mp3,long,3,critical with contrast,918,1390,918,2162
A,longnail.png,iron.png,shortbat.png,longbat.png,longbat.mp3,long,4,critical with contrast,1063,1766,1063,2213
A,longtoothbrush.png,shorttoothbrush.png,pan.png,longdress.png,longtoothbrush.mp3,long,1,critical with contrast,972,1615,972,2446
A,bag.png,shortmarker.png,shortfork.png,seal.png,shortmarker.mp3,short,2,critical no contrast,935,1471,935,2015
A,globe.png,shortcandle.png,shortrocket.png,pancakes.png,shortrocket.mp3,short,3,critical no contrast,755,1278,755,1970
A,shorthammer.png,briefcase.png,longhockeystick.png,shorthockeystick.png,shorthockeystick.mp3,short,4,critical with contrast,942,1407,942,2317
A,fatpencil.png,bagel.png,curtains.png,fatcat.png,fatpencil.mp3,fat,1,critical no contrast,1050,1769,1050,2316
A,longwig.png,shortwig.png,shortplunger.png,zebra.png,shortwig.mp3,short,2,critical with contrast,831,1376,831,1896
A,cupcake.png,skinnyman.png,skinnycandycane.png,phone.png,skinnycandycane.mp3,skinny,3,critical no contrast,1043,1631,1043,2431
A,skinnywoman.png,jellyfish.png,flower.png,skinnyknife.png,skinnyknife.mp3,skinny,4,critical no contrast,1073,1636,1073,2265
A,skinnytie.png,fattie.png,sink.png,skinnydog.png,skinnytie.mp3,skinny,1,critical with contrast,876,1582,876,2046
A,narrowcolumn.png,widecolumn.png,widedoor.png,olives.png,widecolumn.mp3,wide,2,critical with contrast,921,1453,921,2012
A,balloon.png,thinstick.png,thinbandaid.png,thickbandaid.png,thinbandaid.mp3,thin,3,critical with contrast,1033,1669,1033,2315
A,kite.png,pinecone.png,yoyo.png,smallsuitcase.png,smallsuitcase.mp3,small,4,critical no contrast,856,1459,856,2424
A,thinruler.png,thickruler.png,pear.png,thinarrow.png,thinruler.mp3,thin,1,critical with contrast,967,1377,967,1967
A,tallbeer.png,shortbeer.png,shorttable.png,passport.png,shortbeer.mp3,short,2,critical with contrast,908,1671,908,2090
A,lock.png,shortladder.png,shortjar.png,beetle.png,shortjar.mp3,short,3,critical no contrast,970,1671,970,2203
A,bigburger.png,mittens.png,microphone.png,bigbowl.png,bigbowl.mp3,big,4,critical no contrast,1077,1455,1077,1998
A,bigpotato.png,fireextinguisher.png,tissues.png,bigtruck.png,bigpotato.mp3,big,1,critical no contrast,940,1352,940,1993
A,sled.png,bighouse.png,bigmountain.png,umbrella.png,bighouse.mp3,big,2,critical no contrast,1019,1359,1019,2030
A,earmuffs.png,bigtomato.png,bigcanoe.png,smallcanoe.png,bigcanoe.mp3,big,3,critical with contrast,943,1321,943,1785
A,bigclothespin.png,cheesegrater.png,smalllightbulb.png,biglightbulb.png,biglightbulb.mp3,big,4,critical with contrast,1048,1464,1048,2239
A,smallcrab.png,orange.png,backpack.png,smallskateboard.png,smallcrab.mp3,small,1,critical no contrast,1037,1777,1037,2358
A,teapot.png,smallrazor.png,smallwhisk.png,cd.png,smallrazor.mp3,small,2,critical no contrast,948,1534,948,2225
A,fence.png,smallbird.png,smallkey.png,bigkey.png,smallkey.mp3,small,3,critical with contrast,1030,1790,1030,2194
A,smallclipboard.png,easel.png,trumpet.png,smallspider.png,smallspider.mp3,small,4,critical no contrast,888,1537,888,2177
A,smalldesk.png,bigdesk.png,caterpillar.png,smalleraser.png,smalldesk.mp3,small,1,critical with contrast,1081,1766,1081,1590
A,bigtrophy.png,smalltrophy.png,smallpinwheel.png,grapes.png,smalltrophy.mp3,small,2,critical with contrast,897,1574,897,2180
A,avocado.png,thickbook.png,thickpaintbrush.png,dartboard.png,thickpaintbrush.mp3,thick,3,critical no contrast,871,1480,871,2282
A,thickeyebrows.png,fan.png,thinburrito.png,thickburrito.png,thickburrito.mp3,thick,4,critical with contrast,1011,1635,1011,2229
A,thickmustache.png,thinmustache.png,xylophone.png,thicktire.png,thickmustache.mp3,thick,1,critical with contrast,924,1413,924,2325
A,watermelon.png,tallflamingo.png,tallhat.png,domino.png,tallflamingo.mp3,tall,2,critical no contrast,930,1343,930,2101
A,crayon.png,tallman.png,tallstool.png,shortstool.png,tallstool.mp3,tall,3,critical with contrast,940,1458,940,2017
A,tallgiraffe.png,pretzel.png,card.png,talllamp.png,talllamp.mp3,tall,4,critical no contrast,1042,1597,1042,2350
A,blanket.png,measuringcup.png,longpants.png,shortpants.png,thickblanket.mp3,thick,1,contrast filler,949,1451,949,2005
A,creditcard.png,wagon.png,smalltooth.png,bigtooth.png,smallwagon.mp3,small,2,contrast filler,902,1539,902,2061
A,shortscrew.png,longscrew.png,kiwi.png,sloth.png,smallkiwi.mp3,small,3,contrast filler,870,1499,870,1968
A,tallwineglass.png,shortwineglass.png,controller.png,calendar.png,bigcalendar.mp3,big,4,contrast filler,1002,1410,1002,2010
A,toaster.png,pot.png,shortcorn.png,longcorn.png,smalltoaster.mp3,small,1,contrast filler,839,1448,839,2089
A,deodorant.png,salad.png,tallspeaker.png,shortspeaker.png,smallsalad.mp3,small,2,contrast filler,870,1393,870,1929
A,widebush.png,narrowbush.png,rooster.png,popsicle.png,tallrooster.mp3,tall,3,contrast filler,949,1419,949,2042
A,bigbeehive.png,smallbeehive.png,calculator.png,icecube.png,smallicecube.mp3,small,4,contrast filler,873,1499,873,2059
